n,algoritmo,escenario,repeticion,tiempo_ns,comparaciones
1000,Lineal,Ausente,24,6500,1000
1000,Binaria,Ausente,24,100,9
1000,Lineal,Ausente,25,3700,1000
1000,Binaria,Ausente,25,200,9
1000,Lineal,Ausente,26,3600,1000
1000,Binaria,Ausente,26,100,9
1000,Lineal,Ausente,27,3400,1000
1000,Binaria,Ausente,27,100,9
1000,Lineal,Ausente,28,3600,1000
1000,Binaria,Ausente,28,100,9
1000,Lineal,Ausente,29,3500,1000
1000,Binaria,Ausente,29,100,9
1000,Lineal,Ausente,30,3600,1000
1000,Binaria,Ausente,30,100,9
10000,Lineal,Inicio,1,100,1
10000,Binaria,Inicio,1,300,13
10000,Lineal,Inicio,2,0,1
10000,Binaria,Inicio,2,200,13
10000,Lineal,Inicio,3,100,1
10000,Binaria,Inicio,3,200,13
10000,Lineal,Inicio,4,100,1
10000,Binaria,Inicio,4,100,13
10000,Lineal,Inicio,5,0,1
10000,Binaria,Inicio,5,100,13
10000,Lineal,Inicio,6,100,1
10000,Binaria,Inicio,6,100,13
10000,Lineal,Inicio,7,100,1
10000,Binaria,Inicio,7,100,13
10000,Lineal,Inicio,8,100,1
10000,Binaria,Inicio,8,100,13
10000,Lineal,Inicio,9,0,1
10000,Binaria,Inicio,9,200,13
10000,Lineal,Inicio,10,0,1
10000,Binaria,Inicio,10,200,13
10000,Lineal,Inicio,11,100,1
10000,Binaria,Inicio,11,200,13
10000,Lineal,Inicio,12,100,1
10000,Binaria,Inicio,12,100,13
10000,Lineal,Inicio,13,0,1
10000,Binaria,Inicio,13,200,13
10000,Lineal,Inicio,14,0,1
10000,Binaria,Inicio,14,200,13
10000,Lineal,Inicio,15,100,1
10000,Binaria,Inicio,15,100,13
10000,Lineal,Inicio,16,0,1
10000,Binaria,Inicio,16,100,13
10000,Lineal,Inicio,17,0,1
10000,Binaria,Inicio,17,100,13
10000,Lineal,Inicio,18,0,1
10000,Binaria,Inicio,18,100,13
10000,Lineal,Inicio,19,0,1
10000,Binaria,Inicio,19,100,13
10000,Lineal,Inicio,20,100,1
10000,Binaria,Inicio,20,200,13
10000,Lineal,Inicio,21,0,1
10000,Binaria,Inicio,21,200,13
10000,Lineal,Inicio,22,100,1
10000,Binaria,Inicio,22,200,13
10000,Lineal,Inicio,23,100,1
10000,Binaria,Inicio,23,200,13
10000,Lineal,Inicio,24,100,1
10000,Binaria,Inicio,24,100,13
10000,Lineal,Inicio,25,0,1
10000,Binaria,Inicio,25,200,13
10000,Lineal,Inicio,26,100,1
10000,Binaria,Inicio,26,100,13
10000,Lineal,Inicio,27,0,1
